"id","日期","时刻","开盘价","最高价","最低价","收盘价","成交量"
"1","1999.01.04","07:10","1.6686","1.6686","1.6682","1.6685","15"
"2","1999.01.04","07:15","1.6689","1.6691","1.6685","1.6689","22"
"3","1999.01.04","07:20","1.6685","1.6685","1.6685","1.6685","11"
"4","1999.01.04","07:25","1.6674","1.6674","1.6665","1.6665","14"
"5","1999.01.04","07:30","1.6664","1.6675","1.6661","1.6663","28"
"6","1999.01.04","07:35","1.6664","1.6665","1.6657","1.6665","13"
"7","1999.01.04","07:40","1.6655","1.6655","1.6646","1.6649","25"
"8","1999.01.04","07:45","1.665","1.665","1.6645","1.6649","14"
"9","1999.01.04","07:50","1.665","1.665","1.6644","1.6644","17"
"10","1999.01.04","07:55","1.6646","1.665","1.6637","1.6643","41"
"11","1999.01.04","08:00","1.6639","1.664","1.6633","1.6633","18"
"12","1999.01.04","08:05","1.6631","1.6635","1.663","1.6634","15"
"13","1999.01.04","08:10","1.6633","1.6651","1.6632","1.664","60"
"14","1999.01.04","08:15","1.6648","1.6663","1.6645","1.6657","28"
"15","1999.01.04","08:20","1.6655","1.6662","1.665","1.6661","40"
"16","1999.01.04","08:25","1.6659","1.6665","1.665","1.6657","50"
"17","1999.01.04","08:30","1.6659","1.666","1.6651","1.6655","36"
"18","1999.01.04","08:35","1.6652","1.6663","1.6648","1.6661","39"
"19","1999.01.04","08:40","1.6657","1.6663","1.6648","1.6663","41"
"20","1999.01.04","08:45","1.6659","1.6663","1.6648","1.6649","58"
"21","1999.01.04","08:50","1.6662","1.6667","1.6651","1.6665","60"
"22","1999.01.04","08:55","1.6657","1.6663","1.665","1.6653","46"
"23","1999.01.04","09:00","1.665","1.6673","1.665","1.6658","77"
"24","1999.01.04","09:05","1.6657","1.6694","1.6657","1.6687","80"
"25","1999.01.04","09:10","1.669","1.6697","1.6678","1.6685","88"
"26","1999.01.04","09:15","1.6684","1.6704","1.6684","1.6693","71"
"27","1999.01.04","09:20","1.6702","1.672","1.6695","1.672","92"
"28","1999.01.04","09:25","1.6716","1.6716","1.6686","1.6686","79"
"29","1999.01.04","09:30","1.6693","1.6702","1.6671","1.6674","66"
"30","1999.01.04","09:35","1.6677","1.6688","1.6665","1.6667","93"
"31","1999.01.04","09:40","1.6663","1.6671","1.6651","1.6652","60"
"32","1999.01.04","09:45","1.6654","1.6661","1.6642","1.6648","82"
"33","1999.01.04","09:50","1.6646","1.6657","1.6633","1.6634","69"
"34","1999.01.04","09:55","1.6636","1.6644","1.6607","1.6613","63"
"35","1999.01.04","10:00","1.6615","1.6621","1.6607","1.6617","48"
"36","1999.01.04","10:05","1.6624","1.6629","1.6596","1.6607","107"
"37","1999.01.04","10:10","1.6613","1.6616","1.659","1.6601","70"
"38","1999.01.04","10:15","1.6597","1.661","1.6593","1.6607","71"
"39","1999.01.04","10:20","1.6604","1.661","1.6591","1.6602","86"
"40","1999.01.04","10:25","1.6598","1.661","1.6584","1.6584","80"
"41","1999.01.04","10:30","1.659","1.66","1.6583","1.6591","80"
"42","1999.01.04","10:35","1.6593","1.6598","1.6578","1.6592","71"
"43","1999.01.04","10:40","1.6589","1.6593","1.6575","1.6587","50"
"44","1999.01.04","10:45","1.6592","1.6604","1.6577","1.6591","92"
"45","1999.01.04","10:50","1.659","1.6603","1.6589","1.6597","55"
"46","1999.01.04","10:55","1.6595","1.6603","1.6585","1.6587","64"
"47","1999.01.04","11:00","1.6598","1.6599","1.6573","1.6577","51"
"48","1999.01.04","11:05","1.6571","1.6585","1.6567","1.6573","59"
"49","1999.01.04","11:10","1.6572","1.66","1.6572","1.6589","91"
"50","1999.01.04","11:15","1.6588","1.6592","1.6579","1.6586","46"
"51","1999.01.04","11:20","1.6583","1.6587","1.6577","1.6581","51"
"52","1999.01.04","11:25","1.6588","1.6588","1.657","1.6572","69"
"53","1999.01.04","11:30","1.6574","1.6587","1.6565","1.658","58"
"54","1999.01.04","11:35","1.6583","1.6591","1.6577","1.658","55"
"55","1999.01.04","11:40","1.6579","1.6587","1.6576","1.6579","51"
"56","1999.01.04","11:45","1.6583","1.6586","1.657","1.6575","41"
"57","1999.01.04","11:50","1.6575","1.6585","1.6572","1.6572","50"
"58","1999.01.04","11:55","1.6577","1.6582","1.657","1.6582","44"
"59","1999.01.04","12:00","1.6577","1.6582","1.6561","1.6573","52"
"60","1999.01.04","12:05","1.657","1.6583","1.657","1.6573","36"
"61","1999.01.04","12:10","1.6574","1.6595","1.6572","1.6588","51"
"62","1999.01.04","12:15","1.658","1.6585","1.6571","1.6585","36"
"63","1999.01.04","12:20","1.6588","1.6588","1.6576","1.6581","36"
"64","1999.01.04","12:25","1.6577","1.6587","1.6577","1.6585","31"
"65","1999.01.04","12:30","1.6578","1.6586","1.6577","1.6585","39"
"66","1999.01.04","12:35","1.6577","1.658","1.6566","1.6573","46"
"67","1999.01.04","12:40","1.6574","1.658","1.656","1.6563","74"
"68","1999.01.04","12:45","1.6559","1.6572","1.6557","1.657","65"
"69","1999.01.04","12:50","1.657","1.6574","1.655","1.6562","63"
"70","1999.01.04","12:55","1.656","1.6564","1.6546","1.6553","53"
"71","1999.01.04","13:00","1.655","1.6559","1.6549","1.6551","42"
"72","1999.01.04","13:05","1.6553","1.6559","1.6547","1.6552","49"
"73","1999.01.04","13:10","1.6551","1.6557","1.6549","1.6553","32"
"74","1999.01.04","13:15","1.6554","1.656","1.6552","1.6556","37"
"75","1999.01.04","13:20","1.6554","1.6567","1.6552","1.6561","39"
"76","1999.01.04","13:25","1.6555","1.6562","1.6539","1.6542","72"
"77","1999.01.04","13:30","1.6545","1.6553","1.654","1.6547","48"
"78","1999.01.04","13:35","1.6544","1.6554","1.6544","1.6549","33"
"79","1999.01.04","13:40","1.6552","1.6553","1.6545","1.6551","57"
"80","1999.01.04","13:45","1.6549","1.6557","1.6539","1.6549","54"
"81","1999.01.04","13:50","1.6551","1.6557","1.6549","1.6554","31"
"82","1999.01.04","13:55","1.6551","1.6557","1.6547","1.6553","36"
"83","1999.01.04","14:00","1.6557","1.6563","1.655","1.6562","54"
"84","1999.01.04","14:05","1.6559","1.6578","1.6552","1.6578","60"
"85","1999.01.04","14:10","1.6575","1.6588","1.6562","1.6574","71"
"86","1999.01.04","14:15","1.6579","1.6582","1.6573","1.6582","36"
"87","1999.01.04","14:20","1.6577","1.6582","1.6563","1.6573","53"
"88","1999.01.04","14:25","1.6575","1.658","1.6561","1.6569","65"
"89","1999.01.04","14:30","1.6564","1.6574","1.6558","1.6568","68"
"90","1999.01.04","14:35","1.6566","1.6581","1.6561","1.6565","52"
"91","1999.01.04","14:40","1.6566","1.6572","1.6561","1.6572","44"
"92","1999.01.04","14:45","1.6569","1.6573","1.6562","1.6567","41"
"93","1999.01.04","14:50","1.6577","1.6577","1.6564","1.6577","45"
"94","1999.01.04","14:55","1.6571","1.6575","1.6561","1.6563","37"
"95","1999.01.04","15:00","1.6561","1.6567","1.6552","1.6552","60"
"96","1999.01.04","15:05","1.6546","1.6565","1.6546","1.6557","62"
"97","1999.01.04","15:10","1.6559","1.6566","1.6554","1.6558","55"
"98","1999.01.04","15:15","1.6561","1.6565","1.6559","1.6561","44"
"99","1999.01.04","15:20","1.6565","1.6567","1.6554","1.6557","51"
"100","1999.01.04","15:25","1.6558","1.6563","1.6551","1.6559","57"
"101","1999.01.04","15:30","1.656","1.656","1.6552","1.6559","29"
"102","1999.01.04","15:35","1.6563","1.6567","1.6555","1.6564","38"
"103","1999.01.04","15:40","1.6567","1.6573","1.6561","1.6573","40"
"104","1999.01.04","15:45","1.6575","1.6581","1.6565","1.657","39"
"105","1999.01.04","15:50","1.6575","1.6579","1.657","1.6575","37"
"106","1999.01.04","15:55","1.6577","1.6594","1.6572","1.6588","54"
"107","1999.01.04","16:00","1.6582","1.6595","1.6576","1.6592","57"
"108","1999.01.04","16:05","1.6593","1.6617","1.6593","1.6605","45"
"109","1999.01.04","16:10","1.6612","1.6615","1.6601","1.6609","39"
"110","1999.01.04","16:15","1.6602","1.6611","1.6602","1.6605","36"
"111","1999.01.04","16:20","1.6606","1.6607","1.6585","1.6595","73"
"112","1999.01.04","16:25","1.6593","1.6596","1.659","1.6595","33"
"113","1999.01.04","16:30","1.6597","1.6602","1.659","1.6593","41"
"114","1999.01.04","16:35","1.6594","1.66","1.6591","1.6594","35"
"115","1999.01.04","16:40","1.6591","1.6597","1.6587","1.6588","36"
"116","1999.01.04","16:45","1.6592","1.6599","1.6588","1.6594","38"
"117","1999.01.04","16:50","1.6594","1.6599","1.6586","1.6593","45"
"118","1999.01.04","16:55","1.6595","1.6603","1.6589","1.6598","44"
"119","1999.01.04","17:00","1.6601","1.6604","1.6593","1.6593","44"
"120","1999.01.04","17:05","1.6594","1.6603","1.6593","1.6598","39"
"121","1999.01.04","17:10","1.6601","1.6602","1.6588","1.6597","46"
"122","1999.01.04","17:15","1.6599","1.6602","1.659","1.6593","46"
"123","1999.01.04","17:20","1.6587","1.6606","1.6584","1.6603","61"
